benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/01-integer-programming-5-10-100.cnf.bz2,Kissat-sc2020-unsat,default,5000.02,timeout (wallclock),UNKNOWN,0.0240619,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MLCMDChronoBT-DL-Scavel,default,5000.02,timeout (wallclock),UNKNOWN,0.0295449,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple-LCM-Dist-alluip-trail,default,5000.02,timeout (wallclock),UNKNOWN,0.022364,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,LRB_VSIDS_2_init,4999.95,timeout (cpu),UNKNOWN,0.027992,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,default_drup,5000.04,timeout (wallclock),UNKNOWN,0.025878,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel01,default,5000.02,timeout (wallclock),UNKNOWN,0.033762,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel02,default,5000.02,timeout (wallclock),UNKNOWN,0.0249561,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleLCMDistChronoBT-DL-f2trc,default,5000.06,timeout (wallclock),UNKNOWN,0.0172559,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleLCMDistChronoBT-DL-v3,default,5000.07,timeout (wallclock),UNKNOWN,0.035508,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleLCMDistChronoBT-f2trc,default,5000.04,timeout (wallclock),UNKNOWN,0.0156,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,MapleLCMDistChronoBT-f2trc-s,default,5000.03,timeout (wallclock),UNKNOWN,0.0261951,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple_CM+dist,default,5000.08,timeout (wallclock),UNKNOWN,0.0242011,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple_CM+dist+sattime2s+-,default,5000.03,timeout (wallclock),UNKNOWN,0.0330399,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple_CM+dist+simp2--,default,5000.02,timeout (wallclock),UNKNOWN,0.0204121,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple_CMused+dist,default,5000.05,timeout (wallclock),UNKNOWN,0.0266821,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple_mix,default,5000.02,timeout (wallclock),UNKNOWN,0.0238421,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Maple_simp,default,5000.08,timeout (wallclock),UNKNOWN,0.015764,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,ParaFROST,default,5000.04,timeout (wallclock),UNKNOWN,0.0193051,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,ParaFROST_CBT,default,5000.06,timeout (wallclock),UNKNOWN,0.0193109,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,PauSat,default,5000.03,timeout (wallclock),UNKNOWN,0.031207,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,PauSat_noproof,default,5000.02,timeout (wallclock),UNKNOWN,0.022314,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Relaxed_LCMDCBDL,default,5000.01,timeout (wallclock),UNKNOWN,0.0338091,TIMEOUT
