70628bc527228ff61fc0ebfc3a6ff20f unknown timeout failed timeout timeout timeout failed
6d094ef8ff8403c1338136bdc474b1c9 sat timeout failed timeout timeout 102.381 timeout
b2a456f73623145ce5a839938aae5d8c sat timeout failed timeout timeout 178.338 timeout
31746b8d1bf7628c843592a85a8d95ba sat 32.279 timeout unknown 319.482 35.239 timeout
ea88c8ccc24b28ff26c4c82bc956ab4b unknown timeout timeout unknown timeout timeout failed
34323d942ba720695022bb1251190a01 sat 16.576 848.074 timeout 344.006 15.33 128.324
b0384906155607b261b2fb070399ee2e sat 15.261 failed timeout 290.317 12.932 131.138
b4457e1a0929d236a86db88d22e5a31c sat 17.24 failed timeout 619.027 9.966 151.493
0241f35c5752768d2b0580533d143a14 sat 32.226 failed timeout 603.967 14.354 211.592
8d04ddb02298c335394dc78b177bb0e4 sat 16.937 failed timeout 698.663 21.885 249.175
a2ca167a8fdbf165f40b5d6dee94b040 sat 27.952 failed timeout 753.368 29.219 175.062
e2d2b011b0805782df6adba648db92e8 sat 24.2 488.425 timeout 788.595 18.95 130.059
0ff0fc8ef80d32742d38231869d5d244 sat 26.174 680.563 timeout 664.782 20.767 143.804
eea33de69db92b57462278f766c19787 sat 52.57 failed timeout timeout 45.116 failed
aff1b7e42aafff200fb43c5654004d72 sat 249.968 failed timeout timeout 144.895 timeout
43617e47d7f29ff77cc9917919cff6f5 sat timeout failed timeout timeout 144.83 timeout
3f9985018dd0c9655cdb7063258d0279 sat 3.065 failed timeout 31.605 98.671 timeout
29be431e9dee1550957c8483be4532e4 unknown timeout failed timeout timeout timeout failed
7b430dc4761000c3404b608fd5b1123e sat 942.839 721.982 unknown timeout timeout timeout
cdd131110acc861a5a01fae6c4936c91 sat 123.031 84.566 unknown timeout 184.772 failed
b55b472a43a2daa68378ac8cbc4c2fb4 unsat 20.31 218.668 timeout 90.897 17.581 timeout
fc794887d3aede5fdd422a501f730032 unsat 17.638 timeout timeout timeout 176.183 failed
024af9416f8c1dad1b4f974757e38d51 sat timeout 219.07 unknown timeout 686.731 timeout
1a3400dc32a3859afb20566a4ded9606 sat 40.252 149.582 timeout 95.146 33.009 89.661
ef83601257510b39572641f2ba485470 unsat 66.425 failed timeout timeout failed failed
deb76f54ab18eb8586d8219bcd61f0f9 unsat 262.072 timeout timeout timeout timeout failed
98c53d2e6e9cbf4a78a258adc529770a unsat 54.367 timeout timeout 692.642 233.602 failed
53463611103e9b4523eef1d9b5b0f105 sat 13.781 35.269 109.47 9.662 4.8 47.066
f562b25b05e80a222358bdff30a39a23 unsat 35.312 timeout 309.77 277.194 105.361 failed
98a6390be8264c04046d5245c449c061 sat 47.691 83.833 9.48 102.305 59.778 21.881
f26488d372f40f324eda70753bcc66ec sat 6.27 320.669 timeout 62.646 15.968 7.509
f13c4fa1ce7c637d1edab07aac5ba030 unknown timeout timeout timeout timeout timeout timeout
fee70cede2b5b55bfbdb6e48fbe7ce4f sat 6.969 71.909 timeout 48.393 16.751 68.518
f32bb347996c351bc3e9a91c58e8601d sat 83.041 956.79 timeout 576.581 370.285 67.011
673c1a0da2eb39474b2f50569f49e303 unsat 72.975 failed timeout 605.367 268.294 failed
