98a6390be8264c04046d5245c449c061 sat 616.817 180.782 120.457 177.947 331.441 163.279 252.748 854.731 866.098 379.089 208.683 164.456 552.588 94.248
f26488d372f40f324eda70753bcc66ec sat 1294.271 720.288 124.132 275.399 38.192 1091.022 89.202 1118.551 1116.55 363.094 1373.128 556.607 1533.954 423.917
f13c4fa1ce7c637d1edab07aac5ba030 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
fee70cede2b5b55bfbdb6e48fbe7ce4f sat 265.443 493.479 48.284 32.834 287.02 16.015 115.32 260.217 245.796 38.624 439.988 28.679 1638.149 255.057
f32bb347996c351bc3e9a91c58e8601d sat 1972.515 1605.506 546.26 52.151 timeout 2372.704 1225.986 timeout timeout 1680.891 954.59 466.345 timeout 784.025
673c1a0da2eb39474b2f50569f49e303 unsat 679.508 719.476 101.096 181.996 362.7 164.544 331.266 603.606 595.109 245.374 246.125 203.184 275.78 53.873
df4c86b3a6551fa9f72a188b0701bea5 sat 54.34 132.386 21.834 66.971 95.749 194.203 39.931 182.226 182.223 381.333 187.462 79.011 1110.908 110.672
53ffd199202cc7280149f6dda10dc670 sat 411.362 679.443 25.167 48.368 120.4 138.951 100.77 865.877 831.025 89.651 319.594 175.986 timeout 507.983
931621d9964e9d0cd1c4001822015c92 sat 93.176 71.187 25.214 45.812 39.297 31.895 27.594 322.908 322.242 27.512 28.944 18.682 timeout 15.474
f67c5855cfebd80998ab524229af16ae unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
dcfdf31943b65080a2e4b8ec46a89c7d unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
e7b868b93a16feaa7c21bf075cda87f7 unsat 1266.755 1262.434 272.915 376.063 1037.104 172.467 254.999 363.757 371.866 972.39 timeout 168.714 643.546 122.66
ab3dfe46aee7bfeb8301de497f36a05a sat 398.794 383.235 93.819 162.677 83.444 207.092 167.515 206.87 219.294 198.914 1063.124 117.64 545.601 105.387
1e8af331b822f6b7bc1754be9d64499f unsat 1835.58 1877.155 347.601 516.016 560.886 347.862 557.03 332.605 330.751 1167.24 3673.12 420.836 498.417 281.698
a5fc113e7d4899f4e4af14b87b6fd6ae unsat 2705.379 2518.444 445.089 569.808 969.499 283.135 492.878 479.419 474.953 874.856 timeout 321.192 921.967 316.772
02f2343e32f9070f149708d77556b4aa sat 1512.969 1274.861 330.701 671.444 707.953 1067.626 1418.428 715.182 689.412 1283.708 timeout 982.293 1353.402 414.051
21a16f532f37b506ba9b59952a40a2b6 sat 1216.319 1301.011 354.81 695.665 383.191 271.42 867.633 258.706 247.671 387.428 timeout 356.249 700.398 367.284
04157f716c1e9606c6a530657bf8f957 unsat timeout timeout 803.924 1008.672 3189.585 786.275 920.588 986.431 943.176 2850.589 timeout 761.433 1945.261 544.733
b64f7d56f1b369fac6a3bcb1efd784da sat 1213.579 1118.073 275.775 679.445 212.932 113.455 336.9 246.981 240.574 498.093 3983.8 217.433 796.634 348.021
6b4f076f8ed55503b6a417dfe76dd35b sat 1834.535 1644.062 425.718 800.704 563.9 1019.606 329.347 694.897 697.021 4342.148 timeout 1273.421 1324.603 458.117
c790cce39a626db94903b2789c570d7e sat 1072.672 1375.234 433.42 580.541 392.735 400.502 1168.684 232.936 236.6 333.521 4606.508 356.445 1197.045 327.262
9e867160f5dd14c2127a2e513f48b7d5 sat 1080.612 1162.82 284.394 418.082 283.612 142.104 228.795 207.464 206.689 732.298 timeout 193.251 643.319 337.66
6b2496b2ba23a00a1c6f45f87faeba5f unsat timeout timeout 695.665 934.117 2543.474 853.862 950.151 968.267 1016.293 2728.374 timeout 786.197 2389.164 854.44
df050f2e70ef41fc19d87f51ad431601 unsat 3846.968 4317.892 581.082 986.468 3269.31 538.034 663.446 1036.469 994.019 2273.844 timeout 479.687 1989.032 573.92
38295b28f74d2a62e928c221428faf36 unsat 2641.28 2913.732 450.343 598.111 1169.123 369.873 474.14 509.096 509.382 1114.062 timeout 345.155 921.13 434.238
172ecb98a80b859e62612ff192a53729 unsat 749.173 525.263 57.204 failed 391.967 57.297 175.208 310.771 319.563 213.175 3797.738 92.065 253.504 598.352
897c9f5f6396aba631f6e78e675028a8 unsat 2756.611 2619.607 184.249 277.429 417.759 361.534 450.08 1039.328 991.045 538.058 111.207 345.885 763.649 263.57
ceb4b1db49b77dbd68fa63ce029490c1 unsat timeout timeout 517.141 614.494 1167.614 755.526 924.606 1688.361 1717.521 1217.415 3272.225 721.283 2790.558 414.246
e47010231e43a6d68519a57c386a5509 sat timeout timeout timeout timeout timeout timeout timeout timeout timeout 3202.88 timeout timeout timeout timeout
529368029977c0f315a703cce818eb55 unsat timeout timeout 913.1 1745.584 744.965 4129.069 timeout 1240.759 1252.51 1996.1 timeout timeout 1853.402 522.515
